ActorID,BirthDate,Name,TotalAudiences
10091423,19550109,J.K. 시몬스,11199322
10091629,19810604,T.J. 밀러,6119145
10000337,19671005,가이 피어스,9001331
20121473,19870920,가인,2135509
20157232,20060814,갈소원,12811206
10000461,19701001,감우성,12167522
10000488,19830211,강경준,1786831
10000491,19770314,강경헌,1214237
10000502,19651126,강광원,1590666
10000522,19831214,강기화,3612982
10000533,19740926,강대규,11324433
10000546,19741208,강대희,1517096
10000558,19810118,강동원,47760030
20112932,19900809,강별,5309928
10000692,19710113,강성진,5655438
10000693,19760917,강성필,6606946
20112885,19900218,강소라,10310110
10000736,19601126,강신일,39085110
20066563,19800315,강예원,11698411
10000877,19770320,강지환,6697716
20111688,19900221,강하늘,7650388
10000955,19820104,강혜정,10180030
10000433,19850430,갤 가돗,2256913
10001200,19580321,게리 올드만,14459578
10001397,19640919,견미리,3024666
20136885,19900611,고경표,1472106
10001486,19510522,고두심,2554960
10001656,19780000,고수,9519279
10001662,19760718,고수희,31700743
10001669,19900211,고아라,1430885
10001670,19920810,고아성,25009633
10001682,19640000,고영광,1003026
10001765,19850831,고준희,5323911
10001779,19700000,고창석,31926228
10001889,19651231,공리,849251
10001901,19790710,공유,32200764
10001915,19690410,공형진,12659129
10001919,19800404,공효진,4986859
20127192,19740000,곽도원,39840152
20203230,19841205,곽민호,6675342
20187987,19870115,곽시양,2108273
20114003,19830630,구구 바샤-로,5119852
20171681,19850425,구잘 투르수노바,1212843
10002379,19461105,권병길,19227263
10002387,19760808,권상우,10487928
10002402,19540525,권성영,8666046
10002465,19711124,권오중,3019395
20175963,19820629,권율,17613682
10002548,19650116,권해효,6144922
20115762,19810000,권현상,6815206
10028603,19810603,근휘,11324433
10003107,19470319,글렌 클로즈,915672
10003194,19731011,금성무,5292493
10003221,19720927,기네스 팰트로우,17717150
10003245,19721113,기무라 다쿠야,2432351
10003307,19550000,기주봉,14313642
20113258,19640411,길해연,6080033
10003496,19570407,김갑수,1766285
10003507,19780711,김강우,13444165
20237747,19660000,김강일,20558819
10000476,19770215,김강현,4789938
10003524,19681203,김경규,1003026
10003526,19400204,김경란,1755181
20125838,19910702,김고은,3946753
10003606,19670000,김광규,14974865
10003626,19750307,김광일,7931769
20131591,19711007,김광현,3988656
10003647,19701222,김구택,7470633
20112163,19790816,김규리,2341521
10003662,19790627,김규리,608479
10003673,19600406,김규철,3569302
10003702,19810531,김기방,8223266
10003728,19570000,김기천,16811236
20142516,19450515,김기현,10076153
10003756,19851124,김꽃비,2196212
10003788,19810313,김남길,15321431
10003799,19710510,김남주,2972299
10003801,19760801,김남진,1358883
20200886,19801216,김대명,28612776
10003902,19780604,김도연,5613350
