Date,Audiences,MovieID
20070314,118398,20070033
20070315,139016,20070033
20070316,151817,20070033
20070317,308251,20070033
20070318,286202,20070033
20070319,91313,20070033
20070320,85088,20070033
20070321,87698,20070033
20070322,77472,20070033
20070323,103415,20070033
20070324,227649,20070033
20070325,199196,20070033
20070326,56528,20070033
20070327,54738,20070033
20070328,52193,20070033
20070329,44262,20070033
20070330,59010,20070033
20070331,135935,20070033
20070401,117540,20070033
20070402,33631,20070033
20070403,31244,20070033
20070404,31268,20070033
20070405,25642,20070033
20070406,31325,20070033
20070407,67786,20070033
20070408,58315,20070033
20070409,19134,20070033
20070410,19668,20070033
20070411,18713,20070033
20070412,12819,20070033
20070413,18557,20070033
20070414,36713,20070033
20070415,31110,20070033
20070416,12145,20070033
20070417,10157,20070033
20070418,9856,20070033
20070419,4344,20070033
20070420,5938,20070033
20070421,12806,20070033
20070422,10735,20070033
20070423,3715,20070033
20070424,3868,20070033
20070425,1983,20070033
20070426,1617,20070033
20070427,2715,20070033
20070428,5271,20070033
20070429,4419,20070033
20070430,2211,20070033
20070501,1187,20070033
20070502,426,20070033
20070503,447,20070033
20070504,702,20070033
20070505,860,20070033
20070506,600,20070033
20070507,309,20070033
20070508,441,20070033
20070509,396,20070033
20070510,22,20070033
20070511,44,20070033
20070512,96,20070033
20070513,95,20070033
20070514,19,20070033
20070515,228,20070033
20070516,18,20070033
20070517,9,20070033
20070518,37,20070033
20070519,34,20070033
20070520,24,20070033
20070521,8,20070033
20070522,1,20070033
20091112,304862,20090685
20091113,279072,20090685
20091114,541032,20090685
20091115,496690,20090685
20091116,158697,20090685
20091117,154935,20090685
20091118,144334,20090685
20091119,133628,20090685
20091120,173157,20090685
20091121,459875,20090685
20091122,417523,20090685
20091123,106383,20090685
20091124,103369,20090685
20091125,100537,20090685
20091126,79869,20090685
20091127,115940,20090685
20091128,289177,20090685
20091129,245879,20090685
20091130,67708,20090685
20091201,58880,20090685
20091202,45417,20090685
20091203,37478,20090685
20091204,48705,20090685
20091205,127630,20090685
20091206,130545,20090685
20091207,31028,20090685
20091208,28973,20090685
20091209,28043,20090685
20091210,25055,20090685
20091211,35886,20090685
20091212,117168,20090685
20091213,100162,20090685
20091214,19806,20090685
20091215,21272,20090685
20091216,17460,20090685
20091217,10047,20090685
20091218,11724,20090685
20091219,34187,20090685
20091220,41776,20090685
20091221,9702,20090685
20091222,8255,20090685
20091223,1415,20090685
20091224,3428,20090685
20091225,9109,20090685
20091226,5582,20090685
20091227,3931,20090685
20091228,1158,20090685
20091229,1195,20090685
20091230,829,20090685
20091231,667,20090685
20100101,1983,20090685
20100102,1925,20090685
20100103,1241,20090685
20100104,230,20090685
20100105,303,20090685
20100106,253,20090685
20100107,74,20090685
20100108,59,20090685
20100109,242,20090685
20100110,228,20090685
